S1,5,Fast and accurate person detection using overhead view for automated attendance,"Kamde, Tanuj Murlidhar*; Kumar, Praveen"
S1,27,Dynamic Multimodal Biometric System,"Patil, Prateek*; Agarwal, Suneeta"
S1,28,Copy-Move Image Forgery Detection using Spatio-structured SIFT Algorithm,"Hansda, Raimoni; Nayak, Rajashree*; Balabantaray, Bunil K"
S1,29,Handwriting Recognition on Filled-in Form Documents using CNN,"Shinde, Akshada Ananda*; Shinde, Akshada"
S1,32,A Two Side Histogram Shifting Based Reversible Data Hiding Technique In Encrypted Images,"Agarwal, Ruchi*; Kumar, Dr. Manoj"
S1,34,Security of Digital Images Based on Stream Cipher and MDS Matrix,"Gaffar, Abdul*; Joshi, Anand; Kumar, Dhanesh"
S1,35,Multi-stream CNN For Face Anti-Spoofing Using Color Space Analysis,"Mhasakar, Purva M*; Mandal, Srimanta; Mitra, Suman"
S1,39,Appearance-invariant Entry-Exit matching using visual soft biometric traits,"V, Vinay Kumar*; Nagabhushan, Prof. P."
S1,41,Securing Biometric Data over Cloud via Shamir's Secret Sharing,"RAJ, NISHANT; Sadhya, Debanjan*"
S1,45,Cancelable Biometric Template Generation using Convolutional Autoencoder,"Siddhad, Gourav*; Khanna, Pritee; ojha, Dr.Aparajita"
S1,47,An Efficient Data Masking Method for Encrypted 3D Mesh Model,"Malipatil, Manikamma *; Patil, Dr.Shubhangi D C"
S1,48,Accounting for Demographic Differentials in Error rate Assessment of Automated Latent Prints Matching via Covariate-Specific ROC Regression,"Marasco, Emanuela*; He, Mengling; Tang, Larry; Sriram, Sumanth"
S1,50,Clustering of writers and cluster dependent classifier selection for offline signature verification,"K S, Manjunatha; H, Annapurna*; Guru, Dr. D. S"
S1,55,SigVer – A Deep Learning based Writer Independent Bangla Signature Verification System,"Obaidullah, Sk Md*; Mukherjee, Himadri; Roy, Kaushik; Pal , Umapada"
S1,58,A novel Face Print Spoof Detection using color scatter measures in HSI space,"Patil, Pooja*; Kulkarni, Subhash"
S1,60,FingerPIN: An Authentication Mechanism Integrating Fingerprints and Personal Identification Numbers,"Marasco, Emanuela*; Albanese, Massimiliano"
S2,67,Interviewee Performance Analyser Using Facial Emotion Recognition and Speech Fluency Recognition,"Adepu, Yashwanth*; Boga, Vishwanath R; U, Sairam"
S2,68,Sign language recognition using cluster and chunk-based feature extraction,"zaboli, syroos*"
S2,74,Performance Analysis of Weighted Low Rank Model with Sparse Image Histograms for Face Recognition under Low-level Illumination and Occlusion,"Sridhar, KV*"
S2,76,Hard-Mining Loss based Convolutional Neural Network for Face Recognition,"Srivastava, Yash; Murali, Vaishnav; Dubey, Shiv Ram*"
S2,77,Feature Selection and Feature Manifold for Age Estimation,"Sawant, Manisha*; Kshatriya, Shivani ; Bhurchandi, K. M."
S2,89,Sign Gesture Recognition from Raw Skeleton Information in 3D Using Deep Learning,"Rakesh, Sumit; Javed, Saleha; Saini, Rajkumar*; Liwicki, Marcus"
S2,91,Dual Gradient Feature Pair Based Face Recognition for Aging and Pose Changes,"Shoba, Betcy Thanga V*; Sam, Shatheesh"
S2,93,Facial Occlusion Detection and Reconstruction using GAN,"Khas, Diksha*; Kumar, Sumit"
S2,94,Age and Gender Prediction using Deep CNNs and Transfer Learning,"Sheoran, Vikas; Joshi, Shreyansh*; Bhayani, Tanisha"
S2,95,Human Gait Abnormality Detection using Low Cost Sensor Technology,"Jain, Shaili; Nandy, Anup*"
S2,99,Face Recognition in Large Age Gap using Single Reference Sample,"R, SUMITHRA*; Guru, Dr. D. S; Aradhya, Manjunath; Ragavendra, Anitha"
S2,100,Deep Facial Emotion Recognition System under Facial Mask Occlusion,"Saxena, Suchitra*; Tripathi, Shikha; Sudarshan, Dr.T.S.B."
S2,101,Domain Adaptation based Technique for Image Emotion Recognition using Image Captions,"Kumar, Puneet*; Raman, Balasubramanian"
S2,103,Gesture recognition in sign language videos by tracking the position and medial representation of the hand shapes,"zaboli, syroos*; Serov, Sergey"
S2,104,Face Recognition Using Sf3CNN With Higher Feature Discrimination,"Mishra, Nayaneesh kumar*; Singh, Satish Kumar"
S3,105,Air Writing: Tracking and Tracing,"Mall, Jyotsana*; Khatri, Deepak; Rani, Komal"
S3,107,DeepHDR-GIF: Capturing Motion in HighDynamic Range Scenes,"Kumar, Chandan *; Deshpande, Ameya; Raman, Shanmuganathan"
S3,108,Camera Based Parking Slot Detection For Autonomous Parking,"Suddamalla, Upendra;Wong, Anthony;Balaji,Ravichandiran;Lee,Banghyon;Limbu,Dilip Kumar"
S3,110,Scene Text recognition in the wild with motion deblurring using deep networks,"Anand, Sukhad*; Susan, Seba; Aggarwal, Shreshtha; Aggarwal, Shubham; Singla, Rajat"
S3,112,Vision based Autonomous Drone Navigation through enclosed spaces,"Veerawal, Sumit*; Bhushan, Shashank; Mansharamani, Mohak R; Sharma, Bishwajit"
S3,115,Deep Learning based Smart Parking Management System and Business Model,"Kher, Yatharth*"
S3,117,Design and Implementation of Motion Envelope for a Moving Object using Kinect for Windows,"Setty, Jhansi V*; Chatterjee, Subarna"
S3,121,Software Auto Trigger for Super Slow Motion,"Shukla, Rakshit*; Kumar SK, Pradeep; Jain, Ishu"
S3,122,Digital Borders: Design of an Animal Intrusion Detection System based on Deep Learning,"Ravoor, Prashanth C*; Sudarshan, Dr.T.S.B.; Rangarajan, Krishnan"
S3,123,Automatic On-Road Object Detection in LiDAR-Point Cloud Data using Modified VoxelNet Architecture,"meraz, md*; Javed, Dr. Mohammed"
